incident_id;title;description;severity;module;timestamp_opened;timestamp_resolved;root_cause;resolution_steps;troubleshooting_log_excerpt;issue_type;tags;related_docs;incident_category;module_owner;severity_weight;status
INC-10000;Search infra issue ERR_SEA_7265;Intermittent search timeouts and failures observed by users hitting /api/search;cache miss pattern and thread contention during peak queries.;P3;Search;2025-09-21T16:00:34Z;2025-09-25T23:00:34Z;Thread-pool exhaustion due to heavy parallel index refresh + stale cache leading to NPE in request handler;"[\""Restarted search-service gracefully\"",\""Flush local search cache and validated TTLs\"",\""Scaled search replicas from 3 -> 5\"",\""Applied circuit-breaker to upstream index requests\"",\""Added request-level timeouts and alert rule for queue length\""]";"2025-09-21T16:00:34.189Z ERROR SearchService [reqId=78fabc12] NullPointerException at SearchHandler.handle(SearchHandler.java:112)
2025-09-21T16:00:34.190Z WARN SearchService ThreadPool-5 queue-size=153; active=48; max=50
2025-09-21T16:00:35.005Z INFO RetryPolicy Retrying request (policy=exp-backoff, attempt=2)";infra;search,infra,cache;"[\""DOC-700\"",\""DOC-701\""]";service-failure;SearchOps;0.4;resolved
INC-10001;Inventory infra issue ERR_INV_7949;Inventory API returning intermittent timeouts and authentication retries to DB observed;auth handshake sometimes fails causing connection churn.;P3;Inventory;2025-08-16T02:22:34Z;2025-08-17T03:05:12Z;Transient auth token expiry and connection pool misconfiguration causing repeated re-auth and timeout.;"[\""Rotate affected auth keys\"",\""Increase DB pool max connections from 50 -> 100\"",\""Add token-caching layer with 5m TTL\"",\""Restart inventory-service after pool resize\"",\""Monitor 5xx rate for 24h\""]";"2025-08-16T02:22:34.189Z ERROR InventoryService [req=aa23] DBConnectionTimeout: could not get connection in 30s
2025-08-16T02:22:34.190Z WARN AuthClient token fetch failed (status=502)
2025-08-16T02:22:35.004Z INFO PoolManager resizing pool to 80";infra;inventory,infra,db;"[\""DOC-500\"",\""DOC-501\""]";dependency-failure;InventoryOps;0.4;resolved
INC-10002;Inventory bug issue ERR_INV_1189;Repeated cache invalidation bugs causing stale reads and occasional duplicate order allocations.;P3;Inventory;2025-10-17T06:11:34Z;2025-10-25T02:11:34Z;Race condition in cache invalidation callback producing stale inventory reads.;"[\""Apply fix to cache invalidation handler to use compare-and-swap\"",\""Backfill corrected inventory snapshots\"",\""Invalidate caches cluster-wide with version token\"",\""Add unit tests for concurrent invalidation\"",\""Release hotfix v2.1.3\""]";"2025-10-17T06:11:34.189Z ERROR InventoryCache [req=cb7] CacheInvalidationRaceException at CacheManager.invalidate(CacheManager.java:88)
2025-10-17T06:11:34.240Z INFO InventoryService Returning cached value older-than 5m
2025-10-17T06:12:01.005Z INFO Reconciler started jobId=inv-reconcile-20251017";bug;inventory,bug,cache;"[\""DOC-500\"",\""DOC-502\""]";cache-corruption;InventoryOps;0.4;resolved
INC-10003;Inventory performance issue ERR_INV_9792;Inventory queries experiencing elevated p95 latency during batch reindex jobs and during deployments.;P3;Inventory;2025-11-24T00:31:34Z;;"Background reindex combined with insufficient DB read replicas; query plans show full table scans.";"[\""Throttle reindex jobs to off-peak hours\"",\""Add read replicas and update connection routing\"",\""Optimize slow SQL and add indexes\"",\""Enable query sampling alerts\"",\""Schedule maintenance window for reindex\""]";"2025-11-24T00:31:34.189Z WARN InventoryReindex Job[20251124] high CPU 88%
2025-11-24T00:31:35.003Z ERROR SQLExecutor slow query detected duration=4500ms; query=\""select * from inventory where updated_at > ?\"
"2025-11-24T00:31:36.006Z INFO Autoscaler scaled replicas +2""";performance;inventory,performance,db;"[\""DOC-500\"",\""DOC-503\""]";db-latency;InventoryOps;0.4;unresolved
INC-10004;Payments data issue ERR_PAY_9226;Payment processing failures where payloads lost on queue handoff causing partial payments and reconciliation mismatches.;P3;Payments;2025-09-24T18:39:34Z;2025-09-25T02:39:34Z;Message queue ack mis-handled during high I/O causing dropped events.;"[\""Restarted queue broker and processed dead-letter queue\"",\""Enable at-least-once delivery for payments topic\"",\""Add idempotency keys to payment processor\"",\""Run reconciliation script to reconcile missing payments\"",\""Add monitoring for queue lag and DLQ size\""]";"2025-09-24T18:39:34.189Z ERROR PaymentWorker [msgId=pay-993] Failed to ack message due to BrokerIOException
2025-09-24T18:39:34.400Z WARN MQClient re-queued message attempt=1
2025-09-24T18:40:01.110Z INFO Reconciler matched 12 missing transactions";data;payments,data,mq;"[\""DOC-200\"",\""DOC-202\""]";queue-backlog;PaymentsOps;0.4;resolved
INC-10005;Payments config issue ERR_PAY_7873;Misconfigured payment gateway timeout defaults caused increased client timeouts and retries.;P3;Payments;2025-08-06T05:16:34Z;2025-08-06T08:02:10Z;Config drift: different timeout defaults across deployment groups causing cascading retries.;"[\""Rollback to last known-good config\"",\""Standardize gateway timeout to 10s across envs\"",\""Deploy config as immutable artifact\"",\""Add config drift detector job\"",\""Document config values in DOC-202\""]";"2025-08-06T05:16:34.189Z WARN PaymentsConfigManager found mismatch env=prod vs env=canary gateway.timeout=5s vs 20s
2025-08-06T05:17:01.005Z INFO Rolling back canary changes
2025-08-06T05:20:12.110Z INFO Restarted payments-service with standardized config";config;payments,config,deploy;"[\""DOC-202\""]";config-drift;PaymentsOps;0.4;resolved
INC-10006;Catalog performance issue ERR_CAT_5887;Catalog service p95 latency spike impacting browse and search faceting, causing checkout friction.;P1;Catalog;2025-07-16T13:28:34Z;2025-07-21T04:28:34Z;Memory leak in product cache loader causing OOM and GC pressure.;"[\""Restart catalog-service instances\"",\""Roll out memory-fix v3.2.1\"",\""Increase heap to absorb traffic during patch\"",\""Run heap-dump analysis and fix leak\"",\""Add GC and OOM alerts to Ops dashboard\""]";"2025-07-16T13:28:34.189Z ERROR JVM [pid=1234] OutOfMemoryError: Java heap space
2025-07-16T13:28:34.500Z WARN GC concurrent-mark-sweep pause=820ms
2025-07-16T13:30:03.001Z INFO HeapDump saved to /var/dumps/heap-20250716.hprof";memory;catalog,performance,oom;"[\""DOC-400\"",\""DOC-402\""]";memory-leak;CatalogOps;1.0;resolved
INC-10007;Search bug issue ERR_SEA_6258;Search returned inconsistent results after rolling index update;relevancy degraded for subset of queries.;P3;Search;2025-11-15T08:36:34Z;2025-11-17T23:36:34Z;Index schema mismatch after partial migration caused missing fields in documents.;"[\""Rollback faulty index migration\"",\""Rebuild index with correct schema\"",\""Add migration pre-checks\"",\""Add integration tests for index migration\"",\""Publish step-by-step migration runbook (DOC-700)\""]";"2025-11-15T08:36:34.189Z ERROR IndexMigrator FieldMappingException: field 'title' missing for docId=ab12
2025-11-15T08:36:35.003Z WARN Rolling restart in progress node=search-3
2025-11-15T08:38:02.101Z INFO Reindex job started jobId=reindex-1115";bug;search,bug,index;"[\""DOC-700\"",\""DOC-702\""]";deployment-failure;SearchOps;0.4;resolved
INC-10008;Auth config issue ERR_AUT_7278;Auth service returned intermittent 401s after a recent config change to token lifetime.;P3;Auth;2025-07-19T01:35:34Z;2025-07-20T05:35:34Z;Config change shortened token TTL causing tokens to expire mid-session and race on renewal.;"[\""Revert token TTL to previous value\"",\""Notify clients of TTL change\"",\""Add graceful token renewal flow\"",\""Sync all auth servers clocks and timezones\"",\""Add canary testing for auth config changes\""]";"2025-07-19T01:35:34.189Z WARN AuthService token validation failed user=usr987 reason=expired
2025-07-19T01:35:35.004Z INFO TokenService issuing new token for user=usr987
2025-07-19T01:40:00.100Z INFO Canary auth-server passed health checks";config;auth,config,token;"[\""DOC-100\"",\""DOC-101\""]";config-drift;AuthOps;0.4;resolved
INC-10009;Search performance issue ERR_SEA_6056;Search p99 latency and increased error rates during peak traffic window;some nodes saturated.;P3;Search;2025-11-27T05:24:34Z;2025-11-28T16:24:34Z;Hot shards and uneven query routing causing node overload.;"[\""Evacuate hot shards to balanced nodes\"",\""Increase search cache size\"",\""Enable slow-query logging for 72h\"",\""Apply routing rule to distribute queries\"",\""Add shard-aware autoscaling policy\""]";"2025-11-27T05:24:34.189Z WARN NodeLoadBalancer node=search-2 load=94% shard-hot=true
2025-11-27T05:24:35.003Z ERROR QueryProcessor p99 latency 3800ms
2025-11-27T05:25:01.101Z INFO Rebalance scheduled";performance;search,performance,shard;"[\""DOC-700\"",\""DOC-701\""]";scaling;SearchOps;0.4;resolved
INC-10010;Payments infra issue ERR_PAY_8721;Payments downstream DB showing connection timeouts under high load, intermittent 502s returned to clients.;P2;Payments;2025-09-21T04:17:34Z;2025-09-24T22:17:34Z;DB connection pool exhausted due to long-running reconciliation queries.;"[\""Limit reconciliation batch size\"",\""Increase DB pool connections\"",\""Optimize reconciliation SQL\"",\""Add query timeout\"",\""Implement pagination for reconciliation\""]";"2025-09-21T04:17:34.189Z ERROR DBPool maxWaitExceeded: waited 30000ms
2025-09-21T04:17:35.003Z WARN Reconciler job running longer-than-expected duration=3600s
2025-09-21T04:20:00.100Z INFO Scaled payments-db read replicas +2";infra;payments,infra,db;"[\""DOC-200\"",\""DOC-202\""]";db-latency;PaymentsOps;0.7;resolved
INC-10011;Notifications performance issue ERR_NOT_7668;Notifications queue lag spiked causing delayed emails and mobile push delivery.;P2;Notifications;2025-11-15T02:47:34Z;2025-11-16T14:47:34Z;Consumer lag due to single-threaded worker and a sudden increase in backfill traffic.;"[\""Scale notification workers horizontally\"",\""Enable batch-processing for high-volume topics\"",\""Process DLQ and monitor lag\"",\""Implement backpressure on producers\"",\""Document runbook for queue saturation (DOC-601)\""]";"2025-11-15T02:47:34.189Z WARN ConsumerGroup lag=12000 messages topic=notifications.high-priority
2025-11-15T02:47:35.004Z INFO Worker restarted (pid=442) due to OOM kill
2025-11-15T02:50:01.110Z INFO DLQ drained 4k messages";performance;notifications,performance,queue;"[\""DOC-600\"",\""DOC-601\""]";queue-backlog;NotificationsOps;0.7;resolved
INC-10012;Payments bug issue ERR_PAY_4627;Intermittent double-charging detected for specific 3rd-party gateway path during retries.;P4;Payments;2025-09-14T11:57:34Z;2025-09-15T15:57:34Z;Lack of idempotency handling when retrying on gateway timeouts.;"[\""Add idempotency-key handling to payment endpoint\"",\""Run reconciliation and refund duplicates\"",\""Add gateway-specific retry policy\"",\""Add integration test for retry semantics\"",\""Document fix in DOC-200\""]";"2025-09-14T11:57:34.189Z ERROR PaymentProcessor received duplicate callback txnId=txn-1122
2025-09-14T11:57:35.004Z INFO Reconciler detected duplicate=2
2025-09-14T11:58:01.100Z INFO Refund issued for duplicate txnId=txn-1122";bug;payments,bug,idempotency;"[\""DOC-200\"",\""DOC-201\""]";data-consistency;PaymentsOps;0.2;resolved
INC-10013;Search bug issue ERR_SEA_6864;Search returning 500 for specific query patterns;error originated from JSON parsing layer after special characters.;P4;Search;2025-09-27T13:37:34Z;2025-10-02T14:37:34Z;Unescaped characters in user queries hit serializer causing runtime exception.;"[\""Sanitize user input at edge\"",\""Patch serializer to handle unicode escapes\"",\""Add fuzz tests for edge-cases\"",\""Deploy hotfix and monitor ERR rates\"",\""Update docs for supported query characters\""]";"2025-09-27T13:37:34.189Z ERROR JsonSerializer UnexpectedCharacterException at Serializer.java:47 input='\\uD83D'
2025-09-27T13:37:34.400Z WARN EdgeProxy returned 400 for malformed request
2025-09-27T13:40:12.101Z INFO Hotfix deployed search-service v1.9.2""];bug;search,bug,serializer;""[\""DOC-700\"",\""DOC-702\""]";input-validation;SearchOps;0.2;resolved
INC-10014;Auth bug issue ERR_AUT_2495;Users intermittently cannot login;stack shows race in session creation under high concurrency.;P3;Auth;2025-07-09T19:46:34Z;2025-07-12T06:46:34Z;Race condition in session-store leading to occasional session overwrite and authentication failure.;"[\""Patch session-store to use optimistic locking\"",\""Perform session data migration\"",\""Add monitoring for auth-failure spikes\"",\""Deploy change across all auth nodes\"",\""Add session-concurrency tests\""]";"2025-07-09T19:46:34.189Z ERROR SessionStore [req=usr-321] ConcurrentModificationException at SessionStore.java:221
2025-07-09T19:46:35.004Z WARN AuthService loginFailCount++ user=usr-321
2025-07-09T19:50:01.110Z INFO Migration script applied";bug;auth,bug,session;"[\""DOC-100\"",\""DOC-101\""]";race-condition;AuthOps;0.4;resolved
INC-10015;Catalog config issue ERR_CAT_1698;Catalog returning stale configuration causing incompatible feature flags between regions.;P2;Catalog;2025-10-15T20:57:34Z;2025-10-16T06:12:00Z;Config propagation delay due to broken config-sync job.;"[\""Restart config-sync job\"",\""Manually propagate latest config to region B\"",\""Add versioned config propagation\"",\""Add test for config-sync failure\"",\""Document rollout process (DOC-402)\""]";"2025-10-15T20:57:34.189Z WARN ConfigSync last_applied_version=2025-10-14 region=B lag=95m
2025-10-15T20:58:01.005Z INFO Manual propagate successful
2025-10-15T21:05:05.101Z INFO ConfigSync job restarted";config;catalog,config,flags;"[\""DOC-402\"",\""DOC-400\""]";config-drift;CatalogOps;0.7;resolved
INC-10016;Inventory bug issue ERR_INV_2707;Inventory API occasionally returns negative stock for SKUs after concurrent adjustments.;P2;Inventory;2025-10-31T21:10:34Z;2025-11-01T02:20:05Z;Missing transactional boundary around inventory decrement operations causing negative stock.;"[\""Add DB transaction for inventory adjustments\"",\""Add DB constraint to prevent negative stock\"",\""Backfill and correct negative entries\"",\""Add unit tests for concurrent updates\"",\""Publish fix and monitor\""]";"2025-10-31T21:10:34.189Z ERROR InventoryService Failed to apply delta sku=SKU-221 reason=partial-commit
2025-10-31T21:10:35.004Z INFO Reconciler detected negative entries count=5
2025-10-31T21:30:01.110Z INFO Backfill correction applied";bug;inventory,bug,tx;"[\""DOC-500\"",\""DOC-503\""]";data-consistency;InventoryOps;0.7;resolved
INC-10017;Orders bug issue ERR_ORD_3931;Orders API intermittently created duplicate orders when retrying on payment timeout, leading to double shipments.;P2;Orders;2025-07-18T00:23:34Z;2025-07-20T21:23:34Z;Missing idempotency key handling in orders submit path during payment retry.;"[\""Enforce idempotency header on orders-create\"",\""Run reconciliation for duplicates\"",\""Add compensating cancel for duplicate shipments\"",\""Add integration tests for retried payments\"",\""Update DOC-301 with new pattern\""]";"2025-07-18T00:23:34.189Z ERROR OrdersService DuplicateOrderException orderRef=ord-777 attempt=2
2025-07-18T00:23:35.003Z INFO Reconciler detected duplicates=3
2025-07-18T00:25:01.101Z INFO Compensating cancellations issued";bug;orders,bug,idempotency;"[\""DOC-301\"",\""DOC-303\""]";data-consistency;OrdersOps;0.7;resolved
INC-10018;Auth performance issue ERR_AUT_7546;High auth p95 latency causing login slowness for certain regions correlated with token verification timeouts.;P2;Auth;2025-09-02T05:47:34Z;2025-09-10T00:47:34Z;Remote token verification service had intermittent timeouts resulting in blocking auth flow.;"[\""Add local cache for token verification\"",\""Fallback to cached verification on timeout\"",\""Increase token-verifier pool\"",\""Instrument verifier with metrics\"",\""Coordinate with verifier team for SLA improvements\""]";"2025-09-02T05:47:34.189Z WARN TokenVerifier call timeout=5100ms endpoint=verifier.internal
2025-09-02T05:47:35.004Z INFO Using cached verification result for user=usr-211
2025-09-02T05:50:12.110Z INFO Token verifier team fixed transient DB restarts";performance;auth,performance,token;"[\""DOC-100\"",\""DOC-102\""]";dependency-failure;AuthOps;0.7;resolved
INC-10019;Catalog config issue ERR_CAT_9155;Config mismatch caused image proxy URLs to be rewritten incorrectly in production.;P4;Catalog;2025-07-08T03:12:34Z;2025-07-08T06:30:00Z;Broken environment templating replaced hostnames incorrectly in image URLs.;"[\""Fix templating variables in config artifact\"",\""Backfill corrected image URLs\"",\""Add config lint step in CI\"",\""Add environment validation checks\"",\""Document templating variables (DOC-400)\""]";"2025-07-08T03:12:34.189Z ERROR TemplateEngine variable HOSTNAME unresolved-> replaced with 'null'
2025-07-08T03:15:05.004Z INFO Backfill job corrected 3500 image URLs
2025-07-08T03:30:01.101Z INFO CI lint added validation";config;catalog,config,templating;"[\""DOC-400\""]";config-drift;CatalogOps;0.2;resolved
INC-10020;Orders config issue ERR_ORD_3049;Orders service experienced partial outages due to misapplied feature-toggle causing incompatible API schema.;P2;Orders;2025-09-13T01:53:34Z;2025-09-17T18:53:34Z;"Feature-toggle incorrectly rolled out without contract bump; older clients failed deserialization.";"[\""Rollback feature-toggle\"",\""Add contract compatibility checks\"",\""Add versioned endpoints for transitional rollout\"",\""Notify clients of enforced schema change\"",\""Add pre-deploy contract tests\""]";"2025-09-13T01:53:34.189Z ERROR OrdersDeserializer UnexpectedFieldException at OrdersDeserializer.java:67
2025-09-13T01:54:05.004Z WARN Canary clients failing schema checks
2025-09-13T02:05:01.101Z INFO Rollback completed";config;orders,config,feature-flag;"[\""DOC-303\"",\""DOC-304\""]";config-drift;OrdersOps;0.7;resolved
INC-10021;Auth infra issue ERR_AUT_7295;Auth nodes failed to join cluster after OS-level kernel patch applied, causing reduced capacity.;P2;Auth;2025-07-10T22:32:34Z;2025-07-17T02:32:34Z;"Kernel patch caused ephemeral network interface name changes; cluster membership failed.";"[\""Revert kernel patch on affected nodes\"",\""Standardize network interface naming in init scripts\"",\""Rejoin auth nodes to cluster\"",\""Add pre-patch checklist and canary\"",\""Document post-patch validation steps\""]";"2025-07-10T22:32:34.189Z ERROR ClusterManager NodeJoinFailed node=auth-3 reason=ifcfg mismatch
2025-07-10T22:33:01.005Z INFO Rolling restart auth cluster
2025-07-10T22:40:12.110Z INFO Node rejoined cluster";infra;auth,infra,cluster;"[\""DOC-101\"",\""DOC-102\""]";deployment-failure;AuthOps;0.7;resolved
INC-10022;Orders data issue ERR_ORD_3557;Orders reconciliation failed producing mismatched totals between microservices and ledger.;P4;Orders;2025-11-05T11:44:34Z;2025-11-10T03:44:34Z;Ledger ingestion lag produced temporary mismatch during high-volume runs.;"[\""Process ledger backlog\"",\""Add watermarking to ingestion pipeline\"",\""Add monitoring for ledger-lag\"",\""Reconcile mismatched totals\"",\""Add runbook entry in DOC-303\""]";"2025-11-05T11:44:34.189Z WARN LedgerIngest lag=900s last_processed_id=9821
2025-11-05T11:45:01.004Z INFO Backfill job started
2025-11-05T12:20:01.110Z INFO Matched 98% of transactions";data;orders,data,ledger;"[\""DOC-303\"",\""DOC-305\""]";ingestion-lag;OrdersOps;0.2;resolved
INC-10023;Payments performance issue ERR_PAY_6699;Payments p95 increased due to synchronous calls to external billing partner during settlement, blocking main request path.;P3;Payments;2025-09-16T09:37:34Z;2025-09-16T11:20:00Z;"Synchronous partner call in hot path causing blocking; partner had intermittent slowness.";"[\""Move partner call to async settlement queue\"",\""Add timeout + circuit-breaker for partner call\"",\""Add metrics around partner latency\"",\""Retry with exponential backoff\"",\""Add stubbed integration tests for partner behavior\""]";"2025-09-16T09:37:34.189Z WARN ExternalBilling timeout=4500ms endpoint=billing.partner
2025-09-16T09:37:35.003Z ERROR PaymentController blocked waiting partner response
2025-09-16T09:40:01.101Z INFO Queued settlement async";performance;payments,performance,partner;"[\""DOC-200\"",\""DOC-201\""]";dependency-failure;PaymentsOps;0.4;resolved
INC-10024;Search bug issue ERR_SEA_2045;Search returned 503 for a subset of queries after partial node outage;logs show NPE in query routing.;P3;Search;2025-11-17T02:44:34Z;2025-11-22T01:44:34Z;Query router didn't handle missing shard metadata after rolling upgrade causing NPE.;"[\""Revert routing change\"",\""Add guard for missing shard metadata\"",\""Rebuild routing metadata from cluster state\"",\""Add graceful degradation to 503 fallback\"",\""Update DOC-700 with troubleshooting steps\""]";"2025-11-17T02:44:34.189Z ERROR QueryRouter NullPointerException at QueryRouter.java:210
2025-11-17T02:44:35.003Z WARN Rolling-restart detected inconsistent cluster-state
2025-11-17T02:50:12.101Z INFO Metadata rebuilt from primary node";bug;search,bug,router;"[\""DOC-700\"",\""DOC-702\""]";service-failure;SearchOps;0.4;resolved
