article_id,views,success_rating,feedback_text,last_viewed
KB-1000,113,2.39,Needs update,2025-10-06
KB-1001,184,4.42,Very helpful,2025-11-22
KB-1002,400,2.05,Very helpful,2025-10-26
KB-1003,64,3.55,Very helpful,2025-11-16
KB-1004,537,3.7,Outdated steps,2025-09-12
KB-1005,237,4.54,Very helpful,2025-09-14
KB-1006,234,3.82,Very helpful,2025-10-14
KB-1007,223,2.46,Needs update,2025-10-30
KB-1008,498,4.81,Resolved partially,2025-09-12
KB-1009,88,2.18,Outdated steps,2025-11-24
KB-1010,113,4.83,Outdated steps,2025-09-05
KB-1011,443,3.93,Resolved partially,2025-11-06
KB-1012,242,2.61,Outdated steps,2025-09-18
KB-1013,371,4.69,Needs update,2025-10-14
KB-1014,348,2.44,Needs update,2025-09-21
KB-1015,421,3.93,Needs update,2025-10-12
KB-1016,573,3.01,Outdated steps,2025-10-02
KB-1017,568,2.18,Outdated steps,2025-11-02
KB-1018,14,3.49,Very helpful,2025-10-05
KB-1019,431,3.59,Very helpful,2025-09-28
KB-1020,131,4.04,Very helpful,2025-10-21
KB-1021,583,4.42,Resolved partially,2025-09-15
KB-1022,311,3.3,Very helpful,2025-11-22
KB-1023,102,3.44,Needs update,2025-10-26
KB-1024,340,4.38,Needs update,2025-10-31
KB-1025,501,4.88,Very helpful,2025-10-11
KB-1026,99,3.57,Very helpful,2025-08-31
KB-1027,283,3.78,Very helpful,2025-09-07
KB-1028,163,2.04,Needs update,2025-10-30
KB-1029,580,3.07,Outdated steps,2025-10-16
KB-1030,254,4.86,Quick fix,2025-11-20
KB-1031,150,4.56,Outdated steps,2025-09-24
KB-1032,436,4.0,Very helpful,2025-09-01
KB-1033,102,3.5,Very helpful,2025-09-15
KB-1034,557,3.07,Quick fix,2025-10-17
KB-1035,264,3.9,Very helpful,2025-09-23
KB-1036,576,4.19,Very helpful,2025-11-01
KB-1037,358,3.44,Outdated steps,2025-11-18
KB-1038,274,2.46,Quick fix,2025-10-25
KB-1039,508,3.48,Resolved partially,2025-09-18
KB-1040,413,4.26,Quick fix,2025-08-30
KB-1041,26,4.36,Very helpful,2025-09-05
KB-1042,100,3.25,Needs update,2025-11-27
KB-1043,67,4.63,Quick fix,2025-09-02
KB-1044,275,4.52,Outdated steps,2025-11-23
KB-1045,202,2.53,Needs update,2025-10-18
KB-1046,589,3.74,Resolved partially,2025-10-08
KB-1047,108,2.98,Needs update,2025-09-29
KB-1048,208,4.68,Quick fix,2025-10-19
KB-1049,414,4.29,Needs update,2025-09-05
KB-1050,408,3.63,Very helpful,2025-11-20
KB-1051,562,2.89,Resolved partially,2025-10-13
KB-1052,503,2.21,Very helpful,2025-11-13
KB-1053,430,3.38,Very helpful,2025-11-01
KB-1054,49,2.14,Outdated steps,2025-11-04
KB-1055,545,3.96,Very helpful,2025-10-02
KB-1056,442,3.62,Very helpful,2025-11-05
KB-1057,590,3.18,Resolved partially,2025-10-18
KB-1058,518,3.25,Resolved partially,2025-10-02
KB-1059,400,2.61,Very helpful,2025-09-05
KB-1060,524,4.65,Very helpful,2025-09-21
KB-1061,47,4.2,Resolved partially,2025-10-18
KB-1062,352,3.83,Needs update,2025-11-03
KB-1063,121,4.45,Very helpful,2025-10-12
KB-1064,560,2.66,Outdated steps,2025-10-05
KB-1065,281,2.24,Resolved partially,2025-09-15
KB-1066,41,2.5,Outdated steps,2025-11-19
KB-1067,489,2.13,Very helpful,2025-09-21
KB-1068,569,2.89,Outdated steps,2025-11-07
KB-1069,111,4.34,Outdated steps,2025-10-08
KB-1070,90,4.8,Needs update,2025-11-13
KB-1071,105,2.29,Needs update,2025-11-05
KB-1072,387,4.19,Needs update,2025-09-08
KB-1073,427,4.42,Very helpful,2025-11-15
KB-1074,591,3.01,Quick fix,2025-11-25
KB-1075,346,4.1,Outdated steps,2025-10-12
KB-1076,118,4.84,Resolved partially,2025-09-22
KB-1077,483,2.49,Outdated steps,2025-09-21
KB-1078,378,2.08,Needs update,2025-09-11
KB-1079,279,4.53,Very helpful,2025-09-01
KB-1080,324,3.5,Outdated steps,2025-10-10
KB-1081,177,2.16,Resolved partially,2025-11-01
KB-1082,345,4.59,Very helpful,2025-09-25
KB-1083,492,4.86,Very helpful,2025-10-16
KB-1084,467,4.43,Outdated steps,2025-10-15
KB-1085,160,2.95,Needs update,2025-10-02
KB-1086,528,2.94,Quick fix,2025-11-12
KB-1087,188,2.04,Outdated steps,2025-11-16
KB-1088,135,3.17,Very helpful,2025-11-16
KB-1089,410,4.8,Resolved partially,2025-10-31
KB-1090,78,2.21,Outdated steps,2025-09-27
KB-1091,59,3.3,Outdated steps,2025-09-20
KB-1092,459,2.62,Very helpful,2025-10-26
KB-1093,150,4.35,Outdated steps,2025-09-02
KB-1094,535,4.34,Outdated steps,2025-11-08
KB-1095,38,2.98,Quick fix,2025-10-02
KB-1096,401,2.2,Resolved partially,2025-11-11
KB-1097,331,4.91,Very helpful,2025-09-27
KB-1098,91,4.11,Resolved partially,2025-10-10
KB-1099,213,2.22,Resolved partially,2025-08-31
KB-1100,217,3.89,Resolved partially,2025-10-21
KB-1101,31,2.43,Resolved partially,2025-10-30
KB-1102,504,4.85,Very helpful,2025-10-05
KB-1103,157,3.8,Resolved partially,2025-09-23
KB-1104,423,3.92,Outdated steps,2025-11-22
KB-1105,292,4.03,Outdated steps,2025-10-11
KB-1106,335,2.94,Very helpful,2025-11-26
KB-1107,422,2.52,Very helpful,2025-08-31
KB-1108,275,3.84,Very helpful,2025-10-08
KB-1109,569,2.02,Outdated steps,2025-10-29
KB-1110,34,2.15,Resolved partially,2025-10-14
KB-1111,77,4.81,Resolved partially,2025-09-06
KB-1112,429,4.18,Resolved partially,2025-10-27
KB-1113,271,4.93,Very helpful,2025-11-01
KB-1114,63,2.98,Needs update,2025-09-04
KB-1115,136,4.42,Needs update,2025-11-24
KB-1116,388,4.17,Very helpful,2025-11-11
KB-1117,52,3.91,Very helpful,2025-09-05
KB-1118,502,2.27,Very helpful,2025-11-05
KB-1119,120,4.22,Very helpful,2025-09-26
